"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Fedde, Erick","607200","2024","726",21.2,7.2,".293",".308",32.4,7.6,37.7,"77.502500545","93.941632164",21.6,45.5
"López, Pablo","641154","2024","772",25.6,5.3,".306",".301",35.9,8.2,37.5,"76.717040308","93.587928673",27,51.8
"Eflin, Zach","621107","2024","684",19.6,3.5,".297",".298",30,7.5,36.1,"76.388751434","94.040596667",21.6,50
"Houck, Tanner","656557","2024","743",20.7,6.5,".276",".314",30.2,5.7,41.8,"78.489312385","94.430703969",22.5,46.8
"Rea, Colin","607067","2024","714",18.9,6,".327",".341",36.3,8.7,42,"80.213678192","94.594415173",19.3,46.8
"Severino, Luis","622663","2024","761",21.2,7.9,".308",".308",30.4,5.7,35.6,"75.272418577","93.515669191",22,50.6
"Singer, Brady","663903","2024","762",22.3,7.1,".316",".334",35.6,8,41.7,"77.275001577","94.43000817",25.1,44.7
"Gomber, Austin","596295","2024","696",16.7,5.5,".339",".349",37.7,9.6,41.2,"80.036265299","94.432492071",19.7,48.3
"Burnes, Corbin","669203","2024","784",23.1,6.1,".273",".284",26.8,6.7,31.6,"76.693803832","93.206229159",28.6,48.8
"Skenes, Paul","694973","2024","514",33.1,6.2,".247",".249",27.8,5.2,36.3,"76.618528618","93.629853102",28.7,49.8
"Corbin, Patrick","571578","2024","764",18.2,7.1,".357",".359",37.3,8.3,46.7,"79.877843129","95.30570991",22.3,48.2
"Kirby, George","669923","2024","778",23,3,".287",".289",30.5,8.1,36.3,"78.774593274","93.753520357",23.9,53.4
"Jones, Jared","683003","2024","504",26.2,7.7,".314",".314",36.9,9.8,44.5,"79.019910366","94.534128685",30.2,51.6
"Crochet, Garrett","676979","2024","595",35.1,5.5,".280",".265",34.5,9.2,38.8,"76.536271919","94.146127471",33,53.2
"López, Reynaldo","625643","2024","543",27.3,7.7,".271",".308",37.3,8.8,42.2,"79.439650977","94.317767471",27.5,49
"Lynn, Lance","458681","2024","511",21.3,8.6,".314",".343",37,10.5,39.3,"77.576082114","94.259379457",24.1,48.4
"Peterson, David","656849","2024","510",19.8,9,".299",".332",35.7,7.3,42.7,"78.331204972","94.426613853",25.5,47.8
"Ryan, Joe","657746","2024","538",27.3,4.3,".282",".268",33.6,8.5,36.6,"77.148522833","93.914347298",26.6,50.9
"Bradley, Taj","671737","2024","578",26.6,8.1,".308",".316",34.9,10.2,42.9,"81.556942554","94.766375924",27.4,50.7
"Marsh, Alec","679525","2024","548",22.4,7.1,".325",".344",38,9.6,40.9,"78.827178162","94.623945041",23.5,47.6
"Gil, Luis","661563","2024","637",26.8,12.1,".288",".306",33.7,9.5,37.4,"78.931048895","94.034939077",29,45.5
"Pivetta, Nick","601713","2024","595",28.9,6.1,".306",".297",38.9,10.1,38.9,"79.225758698","93.96201671",25.6,50.3
"Cannon, Jonathan","686563","2024","522",17.4,7.7,".332",".325",38.3,7.3,36.3,"78.719188912","93.823911325",21.7,47.1
